patRIL	chamber	Pre	Learning	Memory	file
A4.asc	0	1.000	0.9833	0.7944	1.hbx
A4.asc	2	0.5800	0.7894	0.9633	1.hbx
A4.asc	5	0.4133	0.8528	0.6744	1.hbx
A4.asc	8	0.3067	0.7594	0.4278	1.hbx
A4.asc	9	0.1000	0.5939	0.1078	1.hbx
A4.asc	12	0.2467	0.6806	0.4256	1.hbx
A4.asc	14	0.4400	0.4722	0.2478	1.hbx
A4.asc	15	-0.9267	-0.06556	0.4378	1.hbx
A4.asc	0	-0.04000	0.4989	0.3111	2.hbx
A4.asc	2	0.1067	0.7139	-0.3378	2.hbx
A4.asc	4	1.000	0.9856	1.000	2.hbx
A4.asc	5	0.2200	0.9267	1.000	2.hbx
A4.asc	8	-0.1067	0.6178	0.7378	2.hbx
A4.asc	9	0.2533	0.5989	0.2311	2.hbx
A4.asc	12	0.5200	0.6217	0.4000	2.hbx
A4.asc	14	0.1067	0.5428	0.2311	2.hbx
A4.asc	15	-0.4667	0.9128	1.000	2.hbx
A4.asc	0	0.5067	0.6433	0.2667	3.hbx
A4.asc	2	0.2733	0.7378	0.5422	3.hbx
A4.asc	4	0.2200	0.8367	0.8556	3.hbx
A4.asc	5	0.7467	0.7144	0.6044	3.hbx
A4.asc	6	1.000	0.8267	0.7167	3.hbx
A4.asc	8	-0.1533	0.7733	0.3256	3.hbx
A4.asc	9	0.1333	0.4844	0.3433	3.hbx
A4.asc	10	-1.000	0.7472	-0.1278	3.hbx
A4.asc	12	0.02000	0.6528	0.5000	3.hbx
A4.asc	14	-0.3067	0.7061	0.4222	3.hbx
A4.asc	15	-1.000	0.5678	0.9300	3.hbx
A4.asc	0	0.1333	0.6861	0.3444	4.hbx
A4.asc	2	-0.05333	0.8172	0.2989	4.hbx
A4.asc	4	0.1267	0.6700	0.6433	4.hbx
A4.asc	5	0.6467	0.6294	0.3367	4.hbx
A4.asc	6	0.5333	0.7311	0.4600	4.hbx
A4.asc	8	0.1533	0.6017	0.07222	4.hbx
A4.asc	9	0.2333	-0.1611	-0.8889	4.hbx
A4.asc	10	-0.01333	0.4028	0.4178	4.hbx
A4.asc	12	0.2667	0.6772	0.5244	4.hbx
A4.asc	15	-1.000	0.5656	1.000	4.hbx
A4.asc	0	0.6333	0.7489	0.6289	5.hbx
A4.asc	2	0.4933	0.7911	0.2811	5.hbx
A4.asc	4	-0.5067	0.6900	0.5844	5.hbx
A4.asc	5	0.5200	0.9439	1.000	5.hbx
A4.asc	6	0.3133	0.9567	-0.4189	5.hbx
A4.asc	8	0.04667	0.8450	1.000	5.hbx
A4.asc	9	-0.06667	0.4433	1.000	5.hbx
A4.asc	10	-0.05333	0.5300	0.3856	5.hbx
A4.asc	12	0.02667	0.5617	0.3633	5.hbx
A4.asc	14	0.2267	0.5344	-0.6133	5.hbx
A4.asc	15	-0.8067	0.4528	0.7578	5.hbx
A4.asc	0	0.3733	0.6656	0.1422	6.hbx
A4.asc	2	0.3333	0.7189	0.5933	6.hbx
A4.asc	4	0.1067	0.7117	0.4289	6.hbx
A4.asc	5	-0.006667	0.4878	0.2122	6.hbx
A4.asc	6	0.7800	0.7717	0.7233	6.hbx
A4.asc	8	0.2867	0.4711	1.000	6.hbx
A4.asc	9	0.7600	0.6550	-0.1033	6.hbx
A4.asc	10	0.4400	0.8272	1.000	6.hbx
A4.asc	12	0.1467	0.6867	0.6956	6.hbx
A4.asc	14	0.2333	0.6761	0.4056	6.hbx
A4.asc	15	-1.000	-0.009444	1.000	6.hbx
A5.asc	2	0.1733	0.7572	0.02444	1.hbx
A5.asc	4	0.2667	-0.5300	-1.000	1.hbx
A5.asc	5	0.1133	0.6006	0.9944	1.hbx
