patRIL	chamber	Pre	Learning	Memory
A4.asc	0	13.00	336.0	434.0
A4.asc	2	167.0	1192.	367.0
A4.asc	5	207.0	2058.	1020.
A4.asc	8	153.0	1947.	900.0
A4.asc	9	230.0	2483.	1033.
A4.asc	12	231.0	2040.	904.0
A4.asc	14	222.0	2252.	1086.
A4.asc	15	244.0	1511.	928.0
A4.asc	0	246.0	1779.	1040.
A4.asc	2	185.0	2014.	774.0
A4.asc	4	87.00	324.0	119.0
A4.asc	5	223.0	453.0	477.0
A4.asc	8	187.0	1380.	529.0
A4.asc	9	202.0	2017.	1055.
A4.asc	12	212.0	2282.	1121.
A4.asc	14	219.0	2106.	1103.
A4.asc	15	133.0	1019.	329.0
A4.asc	0	230.0	2328.	1056.
A4.asc	2	202.0	1996.	882.0
A4.asc	4	220.0	2228.	1135.
A4.asc	5	201.0	2029.	896.0
A4.asc	6	165.0	1887.	828.0
A4.asc	8	201.0	2072.	914.0
A4.asc	9	228.0	2414.	921.0
A4.asc	10	140.0	1226.	539.0
A4.asc	12	232.0	1878.	1002.
A4.asc	14	223.0	1369.	757.0
A4.asc	15	189.0	1874.	654.0
A4.asc	0	162.0	1805.	716.0
A4.asc	2	169.0	1034.	81.00
A4.asc	4	218.0	1708.	741.0
A4.asc	5	226.0	2292.	1133.
A4.asc	6	222.0	2019.	819.0
A4.asc	8	201.0	1985.	924.0
A4.asc	9	211.0	1156.	66.00
A4.asc	10	167.0	1369.	343.0
A4.asc	12	203.0	2031.	913.0
A4.asc	15	133.0	1162.	49.00
A4.asc	0	157.0	1777.	702.0
A4.asc	2	207.0	1817.	925.0
A4.asc	4	213.0	2064.	842.0
A4.asc	5	189.0	588.0	80.00
A4.asc	6	220.0	1196.	509.0
A4.asc	8	218.0	1153.	0.0000
A4.asc	9	160.0	1716.	237.0
A4.asc	10	166.0	1990.	647.0
A4.asc	12	207.0	1275.	615.0
A4.asc	14	215.0	2128.	8.000
A4.asc	15	180.0	1874.	754.0
A4.asc	0	198.0	2267.	970.0
A4.asc	2	197.0	2151.	826.0
A4.asc	4	209.0	1648.	793.0
A4.asc	5	172.0	2091.	930.0
A4.asc	6	192.0	1490.	691.0
A4.asc	8	177.0	1500.	145.0
A4.asc	9	178.0	1716.	798.0
A4.asc	10	126.0	1409.	156.0
A4.asc	12	185.0	1119.	367.0
A4.asc	14	216.0	1994.	943.0
A4.asc	15	176.0	1650.	1.000
A5.asc	2	211.0	2135.	1159.
A5.asc	4	157.0	947.0	0.0000
A5.asc	5	208.0	1327.	150.0
A5.asc	6	238.0	2356.	870.0
A5.asc	8	185.0	2310.	1157.
A5.asc	9	132.0	1988.	1217.
A5.asc	10	177.0	380.0	20.00
A5.asc	11	84.00	1030.	419.0
A5.asc	12	222.0	2162.	1210.
A5.asc	14	209.0	2327.	1061.
A5.asc	15	252.0	2046.	451.0
A5.asc	2	168.0	1909.	897.0
A5.asc	4	121.0	1369.	216.0
A5.asc	5	152.0	1922.	1195.
A5.asc	6	211.0	1656.	944.0
A5.asc	8	109.0	1181.	1311.
A5.asc	9	114.0	2114.	1046.
A5.asc	10	111.0	1589.	801.0
A5.asc	12	15.00	1120.	289.0
A5.asc	14	178.0	1835.	310.0
A5.asc	15	82.00	1889.	1074.
A5.asc	2	180.0	1639.	716.0
A5.asc	4	157.0	912.0	562.0
A5.asc	5	181.0	926.0	77.00
A5.asc	6	208.0	1818.	0.0000
A5.asc	9	218.0	1218.	18.00
A5.asc	10	191.0	1465.	985.0
A5.asc	11	0.0000	33.00	3.000
A5.asc	12	255.0	2753.	1183.
A5.asc	14	151.0	1511.	1061.
A5.asc	15	194.0	908.0	124.0
A5.asc	2	47.00	2007.	939.0
A5.asc	4	210.0	1757.	955.0
A5.asc	5	106.0	2344.	1154.
A5.asc	6	237.0	541.0	46.00
A5.asc	8	107.0	832.0	14.00
A5.asc	10	51.00	662.0	719.0
A5.asc	11	81.00	1140.	256.0
A5.asc	14	202.0	2033.	1142.
A5.asc	15	218.0	1211.	425.0
A5.asc	2	97.00	1554.	763.0
A5.asc	4	157.0	1045.	140.0
A5.asc	5	177.0	1671.	886.0
A5.asc	6	138.0	1785.	1000.
A5.asc	8	126.0	1644.	1145.
A5.asc	9	67.00	1076.	386.0
A5.asc	11	72.00	593.0	359.0
A5.asc	12	229.0	1989.	546.0
A5.asc	14	158.0	1794.	947.0
A5.asc	15	186.0	1114.	156.0
A5.asc	2	205.0	1344.	0.0000
A5.asc	4	165.0	1158.	225.0
A5.asc	5	179.0	2204.	1095.
A5.asc	6	30.00	1015.	64.00
A5.asc	8	200.0	1656.	922.0
A5.asc	9	183.0	1966.	916.0
A5.asc	10	104.0	1031.	824.0
A5.asc	14	156.0	1000.	99.00
A5.asc	15	141.0	1830.	1131.
A5.asc	2	146.0	2184.	809.0
A5.asc	4	178.0	1668.	836.0
A5.asc	5	248.0	1728.	1111.
A5.asc	6	124.0	1496.	411.0
A5.asc	8	227.0	2116.	1319.
