HeatGui Version 2.4 (idle, TP, (double)pos) 
Filename:	A3 Group 5.asc
path:	D:\Patricka\DSRP 2.0\Founders\A3\Incapacitation\A3 Group 5.asc
ExpType:	1	temp. Assay Exp (0=Std, 1=tempAssay, 2=psycho, 3=idle)
LowPass:	1.500000	Hz
yoked Exp:	0
punishArea:	0	(x1=	30	x2=	80	) 
pos_min:	3	pos_max:	128
chamber	PunishSide	used	idle	punishHeat	normalHeat	stdHeat	Heat on sigle side	yoked Master	yoked Slave
1		1	0			24		0	1
2		0	0			24		0	1
3		1	0			24		0	1
4		0	0			24		0	1
5		1	0			24		0	1
6		1	0			24		0	1
7		1	0			24		0	1
8		0	0			24		0	1
9		0	0			24		0	1
10		1	0			24		0	1
11		1	0			24		0	1
12		0	0			24		0	1
13		1	0			24		0	1
14		1	0			24		0	1
15		1	0			24		0	1
16		1	0			24		0	1
time	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	
0	1	1	126.000000	0	0	24	26.8582	24	23.7574	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	84.000000	0	0	24	19.431	24	23.4138	4	1	37.000000	1	0	24	13.8579	24	14.0819	5	1	11.000000	1	0	24	19.8209	24	23.5821	6	1	46.000000	1	0	24	23.4776	24	23.7407	7	1	45.000000	1	0	24	23.701	24	24.1061	8	1	96.000000	0	0	24	24.0172	24	23.3936	9	1	97.000000	0	0	24	23.9121	24	23.9114	10	1	63.000000	0	0	24	24.1241	24	23.9648	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	24.0355	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.7407	14	1	132.000000	0	0	24	24.0704	24	23.7556	15	1	40.000000	1	0	24	23.9651	24	23.9134	16	1	16.000000	1	0	24	24.0875	24	23.5558	
100	1	1	126.000000	0	0	24	24.9071	24	23.7574	2	1	44.000000	1	0	24	39.9138	24	26.625	3	1	83.000000	0	0	24	19.431	24	23.5172	4	1	37.000000	1	0	24	13.9626	24	14.0819	5	1	12.000000	1	0	24	19.8209	24	23.791	6	1	46.000000	1	0	24	23.3731	24	23.637	7	1	45.000000	1	0	24	23.701	24	24.2121	8	1	96.000000	0	0	24	23.914	24	23.2896	9	1	97.000000	0	0	24	24.0176	24	24.0177	10	1	63.000000	0	0	24	23.9114	24	24.0704	11	1	19.000000	1	0	24	24.1222	24	24	12	1	9.000000	1	0	24	23.8223	24	24.0882	13	1	86.000000	0	0	24	24.291	24	23.637	14	1	133.000000	0	0	24	24.1759	24	23.9651	15	1	39.000000	1	0	24	23.8603	24	24.0173	16	1	17.000000	1	0	24	24.1925	24	23.6624	
200	1	1	126.000000	0	0	24	23.7775	24	23.6535	2	1	44.000000	1	0	24	39.9138	24	14.5809	3	1	84.000000	0	0	24	22.7414	24	23.3103	4	1	37.000000	1	0	24	13.8579	24	14.0819	5	1	12.000000	1	0	24	19.8209	24	23.791	6	1	46.000000	1	0	24	23.4776	24	23.637	7	1	45.000000	1	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	23.3936	9	1	97.000000	0	0	24	23.8065	24	24.0177	10	1	63.000000	0	0	24	24.0177	24	23.9648	11	1	19.000000	1	0	24	23.9127	24	24	12	1	9.000000	1	0	24	23.9289	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.637	14	1	133.000000	0	0	24	24.0704	24	23.8603	15	1	39.000000	1	0	24	23.8603	24	23.9134	16	1	18.000000	1	0	24	24.0875	24	23.5558	
300	1	1	126.000000	0	0	24	23.3667	24	23.7574	2	1	44.000000	1	0	24	39.9138	24	14.375	3	1	86.000000	0	0	24	22.7414	24	23.4138	4	1	37.000000	1	0	24	13.9626	24	13.9777	5	1	11.000000	1	0	24	19.8209	24	23.5821	6	1	46.000000	1	0	24	23.3731	24	23.637	7	1	45.000000	1	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	23.2896	9	1	97.000000	0	0	24	23.9121	24	23.9114	10	1	63.000000	0	0	24	24.0177	24	23.7538	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.8223	24	23.9824	13	1	86.000000	0	0	24	24.291	24	23.7407	14	1	133.000000	0	0	24	23.9648	24	23.8603	15	1	40.000000	1	0	24	23.7556	24	23.9134	16	1	18.000000	1	0	24	24.0875	24	23.5558	
400	1	1	126.000000	0	0	24	23.0587	24	23.6535	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	86.000000	0	0	24	22.7414	24	23.4138	4	1	37.000000	1	0	24	13.9626	24	13.9777	5	1	12.000000	1	0	24	19.8209	24	23.5821	6	1	46.000000	1	0	24	23.3731	24	23.7407	7	1	45.000000	1	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	23.2896	9	1	97.000000	0	0	24	23.8065	24	23.9114	10	1	63.000000	0	0	24	23.9114	24	23.9648	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.8223	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.7407	14	1	132.000000	0	0	24	23.9648	24	23.7556	15	1	40.000000	1	0	24	23.7556	24	23.8094	16	1	18.000000	1	0	24	24.0875	24	23.5558	
500	1	1	126.000000	0	0	24	23.0587	24	23.7574	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	86.000000	0	0	24	22.7414	24	23.3103	4	1	37.000000	1	0	24	13.8579	24	13.9777	5	1	11.000000	1	0	24	19.8209	24	23.6866	6	1	46.000000	1	0	24	23.4776	24	23.7407	7	1	45.000000	1	0	24	23.4899	24	24.1061	8	1	96.000000	0	0	24	24.0172	24	23.3936	9	1	97.000000	0	0	24	23.9121	24	23.9114	10	1	63.000000	0	0	24	23.8051	24	23.8593	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.9289	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.637	14	1	132.000000	0	0	24	23.9648	24	23.8603	15	1	40.000000	1	0	24	23.7556	24	23.9134	16	1	19.000000	1	0	24	23.9825	24	23.5558	
600	1	1	126.000000	0	0	24	22.956	24	23.7574	2	1	44.000000	1	0	24	39.9138	24	14.5809	3	1	85.000000	0	0	24	19.431	24	23.3103	4	1	37.000000	1	0	24	13.8579	24	13.9777	5	1	11.000000	1	0	24	19.8209	24	23.6866	6	1	46.000000	1	0	24	23.3731	24	23.637	7	1	45.000000	1	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	23.3936	9	1	97.000000	0	0	24	23.8065	24	23.9114	10	1	63.000000	0	0	24	23.9114	24	23.8593	11	1	19.000000	1	0	24	24.0175	24	23.8947	12	1	9.000000	1	0	24	23.8223	24	23.8766	13	1	86.000000	0	0	24	24.1883	24	23.637	14	1	132.000000	0	0	24	24.0704	24	23.8603	15	1	40.000000	1	0	24	23.6509	24	23.8094	16	1	20.000000	1	0	24	23.9825	24	23.6624	
700	1	1	127.000000	0	0	24	23.1614	24	23.5495	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	86.000000	0	0	24	22.7414	24	23.4138	4	1	37.000000	1	0	24	13.9626	24	13.8734	5	1	11.000000	1	0	24	19.8209	24	23.6866	6	1	46.000000	1	0	24	23.4776	24	23.7407	7	1	45.000000	1	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	23.914	24	23.1856	9	1	97.000000	0	0	24	23.8065	24	24.0177	10	1	63.000000	0	0	24	23.9114	24	23.7538	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.8223	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.7407	14	1	132.000000	0	0	24	24.0704	24	23.7556	15	1	41.000000	1	0	24	23.7556	24	23.8094	16	1	21.000000	1	0	24	24.0875	24	23.6624	
800	1	1	126.000000	0	0	24	23.1614	24	23.5495	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	86.000000	0	0	24	22.7414	24	23.4138	4	1	37.000000	1	0	24	13.7531	24	13.8734	5	1	11.000000	1	0	24	19.8209	24	23.6866	6	1	47.000000	1	0	24	23.4776	24	23.7407	7	1	45.000000	1	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	23.914	24	23.2896	9	1	97.000000	0	0	24	23.9121	24	24.0177	10	1	63.000000	0	0	24	23.9114	24	23.8593	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.9289	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.637	14	1	133.000000	0	0	24	23.9648	24	23.8603	15	1	41.000000	1	0	24	23.8603	24	23.9134	16	1	23.000000	1	0	24	23.9825	24	23.4492	
900	1	1	126.000000	0	0	24	23.3667	24	23.6535	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	87.000000	0	0	24	19.431	24	23.5172	4	1	37.000000	1	0	24	13.9626	24	13.9777	5	1	11.000000	1	0	24	19.8209	24	23.5821	6	1	47.000000	1	0	24	23.3731	24	23.637	7	1	45.000000	1	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	23.3936	9	1	97.000000	0	0	24	23.9121	24	23.9114	10	1	63.000000	0	0	24	23.9114	24	23.9648	11	1	19.000000	1	0	24	24.0175	24	23.8947	12	1	9.000000	1	0	24	23.8223	24	23.8766	13	1	86.000000	0	0	24	24.1883	24	23.637	14	1	132.000000	0	0	24	24.0704	24	23.8603	15	1	41.000000	1	0	24	23.7556	24	23.8094	16	1	24.000000	1	0	24	23.9825	24	23.6624	
1000	1	1	126.000000	0	0	24	23.4694	24	23.6535	2	1	44.000000	1	0	24	39.9138	24	14.4779	3	1	85.000000	0	0	24	22.7414	24	23.3103	4	1	37.000000	1	0	24	13.9626	24	13.8734	5	1	11.000000	1	0	24	19.8209	24	23.5821	6	1	47.000000	1	0	24	23.3731	24	23.637	7	1	45.000000	1	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	23.914	24	23.3936	9	1	97.000000	0	0	24	23.8065	24	23.9114	10	1	63.000000	0	0	24	23.9114	24	23.9648	11	1	19.000000	1	0	24	24.0175	24	24	12	1	9.000000	1	0	24	23.8223	24	23.9824	13	1	86.000000	0	0	24	24.291	24	23.637	14	1	131.000000	0	0	24	24.0704	24	23.7556	15	1	41.000000	1	0	24	23.7556	24	23.9134	16	1	26.000000	1	0	24	24.0875	24	23.5558	
