HeatGui Version 2.4 (idle, TP, (double)pos) 
Filename:	A5 group 3.asc
path:	D:\Patricka\DSRP 2.0\Founders\A5\Learning\A5 group 3.asc
ExpType:	0	Std. Exp (0=Std, 1=tempAssay, 2=psycho, 3=idle)
LowPass:	1.500000	Hz
yoked Exp:	0
punishArea:	0	(x1=	30	x2=	80	) 
pos_min:	3	pos_max:	128
chamber	PunishSide	used	idle	punishHeat	normalHeat	stdHeat	Heat on sigle side	yoked Master	yoked Slave
1	0	1	0	41	24	24	0	0	1
2	0	1	0	41	24	24	0	0	1
3	0	1	0	41	24	24	0	0	1
4	0	1	0	41	24	24	0	0	1
5	0	1	0	41	24	24	0	0	1
6	0	1	0	41	24	24	0	0	1
7	0	1	0	41	24	24	0	0	1
8	0	1	0	41	24	24	0	0	1
9	0	1	0	41	24	24	0	0	1
10	0	1	0	41	24	24	0	0	1
11	0	1	0	41	24	24	0	0	1
12	0	1	0	41	24	24	0	0	1
13	0	1	0	41	24	24	0	0	1
14	0	1	0	41	24	24	0	0	1
15	0	1	0	41	24	24	0	0	1
16	0	1	0	41	24	24	0	0	1
time	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	
0	1	1	126.000000	0	0	24	25.2152	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.3103	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.791	6	1	77.000000	0	0	24	23.4776	24	23.637	7	1	84.000000	0	0	24	23.701	24	24.1061	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	118.000000	0	0	24	23.9121	24	23.9114	10	1	69.000000	0	0	24	24.1241	24	23.8593	11	1	13.000000	0	0	24	24.1222	24	24.1053	12	1	126.000000	0	0	24	23.8223	24	23.9824	13	1	117.000000	0	0	24	24.3936	24	23.5333	14	1	129.000000	0	0	24	24.0704	24	23.9651	15	1	26.000000	0	0	24	23.7556	24	23.9134	16	1	126.000000	0	0	24	24.1925	24	23.4492	
100	1	1	126.000000	0	0	24	24.291	24	23.5495	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.5172	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.5821	6	1	77.000000	0	0	24	23.5821	24	23.637	7	1	86.000000	0	0	24	23.5955	24	24.3182	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	115.000000	0	0	24	23.9121	24	23.9114	10	1	73.000000	0	0	24	24.0177	24	23.8593	11	1	13.000000	0	0	24	24.1222	24	24	12	1	126.000000	0	0	24	23.8223	24	24.0882	13	1	122.000000	0	0	24	24.1883	24	23.637	14	1	127.000000	0	0	24	24.1759	24	23.7556	15	1	26.000000	0	0	24	23.8603	24	24.0173	16	1	125.000000	0	0	24	23.9825	24	23.6624	
200	1	1	126.000000	0	0	24	23.7775	24	23.5495	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.5172	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.6866	6	1	77.000000	0	0	24	23.4776	24	23.637	7	1	84.000000	0	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	115.000000	0	0	24	23.4899	24	24.0177	10	1	77.000000	0	0	24	23.9114	24	23.9648	11	1	13.000000	0	0	24	23.9127	24	24.1053	12	1	126.000000	0	0	24	24.0355	24	23.8766	13	1	122.000000	0	0	24	24.291	24	23.5333	14	1	129.000000	0	0	24	24.1759	24	23.8603	15	1	26.000000	0	0	24	23.8603	24	24.0173	16	1	125.000000	0	0	24	24.1925	24	23.6624	
300	1	1	126.000000	0	0	24	23.4694	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.4138	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.6866	6	1	77.000000	0	0	24	23.3731	24	23.7407	7	1	81.000000	0	0	24	23.4899	24	24.2121	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	106.000000	0	0	24	24.0176	24	23.8051	10	1	80.000000	0	0	24	24.1241	24	23.8593	11	1	13.000000	0	0	24	23.9127	24	24	12	1	126.000000	0	0	24	23.8223	24	24.0882	13	1	124.000000	0	0	24	24.1883	24	23.637	14	1	129.000000	0	0	24	24.1759	24	23.7556	15	1	26.000000	0	0	24	23.8603	24	23.8094	16	1	122.000000	0	0	24	24.0875	24	23.5558	
400	1	1	126.000000	0	0	24	23.3667	24	23.9653	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.5172	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.6866	6	1	77.000000	0	0	24	23.5821	24	23.7407	7	1	77.000000	0	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	106.000000	0	0	24	23.701	24	24.0177	10	1	85.000000	0	0	24	23.8051	24	23.7538	11	1	13.000000	0	0	24	23.808	24	23.8947	12	1	126.000000	0	0	24	23.8223	24	23.8766	13	1	123.000000	0	0	24	24.1883	24	23.3259	14	1	132.000000	0	0	24	24.0704	24	23.8603	15	1	26.000000	0	0	24	23.8603	24	23.9134	16	1	117.000000	0	0	24	23.9825	24	23.5558	
500	1	1	126.000000	0	0	24	23.3667	24	23.4455	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.3103	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.6866	6	1	77.000000	0	0	24	23.2687	24	23.637	7	1	76.000000	0	0	24	23.701	24	24.1061	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	104.000000	0	0	24	23.9121	24	23.9114	10	1	91.000000	0	0	24	24.0177	24	23.9648	11	1	13.000000	0	0	24	23.9127	24	23.8947	12	1	126.000000	0	0	24	23.9289	24	23.9824	13	1	120.000000	0	0	24	24.3936	24	23.637	14	1	132.000000	0	0	24	23.9648	24	23.7556	15	1	26.000000	0	0	24	23.7556	24	23.8094	16	1	113.000000	0	0	24	23.8775	24	23.5558	
600	1	1	126.000000	0	0	24	23.2641	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.3103	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.6866	6	1	77.000000	0	0	24	23.3731	24	23.637	7	1	71.000000	0	0	24	23.4899	24	24.2121	8	1	96.000000	0	0	24	23.8108	24	13.9332	9	1	102.000000	0	0	24	23.9121	24	23.9114	10	1	93.000000	0	0	24	23.9114	24	24.0704	11	1	13.000000	0	0	24	24.1222	24	24	12	1	126.000000	0	0	24	23.7157	24	23.9824	13	1	116.000000	0	0	24	24.0856	24	23.7407	14	1	130.000000	0	0	24	23.9648	24	24.0698	15	1	26.000000	0	0	24	23.7556	24	23.9134	16	1	107.000000	0	0	24	23.9825	24	23.5558	
700	1	1	126.000000	0	0	24	23.2641	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.3103	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	1.000000	0	0	24	26.6119	24	23.5821	6	1	77.000000	0	0	24	23.3731	24	23.7407	7	1	65.000000	0	0	24	23.3844	24	24.2121	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	101.000000	0	0	24	23.9121	24	23.9114	10	1	95.000000	0	0	24	23.8051	24	23.7538	11	1	13.000000	0	0	24	24.1222	24	24	12	1	126.000000	0	0	24	23.8223	24	23.9824	13	1	113.000000	0	0	24	24.1883	24	23.8444	14	1	131.000000	0	0	24	23.9648	24	23.9651	15	1	26.000000	0	0	24	23.7556	24	23.8094	16	1	100.000000	0	0	24	23.9825	24	23.6624	
800	1	1	126.000000	0	0	24	23.3667	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.3103	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	4.000000	0	0	24	26.6119	24	23.5821	6	1	77.000000	0	0	24	23.3731	24	23.7407	7	1	60.000000	0	0	24	23.4899	24	24.3182	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	100.000000	0	0	24	23.8065	24	24.0177	10	1	96.000000	0	0	24	23.9114	24	23.7538	11	1	13.000000	0	0	24	24.1222	24	24	12	1	126.000000	0	0	24	23.9289	24	23.9824	13	1	109.000000	0	0	24	24.1883	24	23.637	14	1	131.000000	0	0	24	23.9648	24	23.9651	15	1	26.000000	0	0	24	23.6509	24	24.0173	16	1	99.000000	0	0	24	23.9825	24	23.5558	
900	1	1	126.000000	0	0	24	23.3667	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.4138	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	6.000000	0	0	24	26.6119	24	23.5821	6	1	77.000000	0	0	24	23.3731	24	23.637	7	1	60.000000	0	0	24	23.4899	24	24.1061	8	1	96.000000	0	0	24	23.8108	24	13.9332	9	1	100.000000	0	0	24	23.8065	24	24.0177	10	1	100.000000	0	0	24	23.8051	24	23.9648	11	1	13.000000	0	0	24	24.0175	24	23.8947	12	1	126.000000	0	0	24	23.8223	24	23.9824	13	1	102.000000	0	0	24	24.1883	24	23.637	14	1	133.000000	0	0	24	23.9648	24	23.8603	15	1	26.000000	0	0	24	23.6509	24	23.9134	16	1	89.000000	0	0	24	23.8775	24	23.769	
1000	1	1	126.000000	0	0	24	23.5721	24	23.6535	2	1	44.000000	0	0	24	39.9138	24	39.6985	3	1	48.000000	0	0	24	26.1552	24	23.4138	4	1	37.000000	0	0	24	39.5187	24	39.4069	5	1	10.000000	0	0	24	26.6119	24	23.5821	6	1	77.000000	0	0	24	23.4776	24	23.637	7	1	56.000000	0	0	24	23.5955	24	24.1061	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	95.000000	0	0	24	23.701	24	24.0177	10	1	101.000000	0	0	24	23.8051	24	23.7538	11	1	13.000000	0	0	24	23.9127	24	24	12	1	126.000000	0	0	24	23.9289	24	23.8766	13	1	94.000000	0	0	24	24.291	24	23.4296	14	1	131.000000	0	0	24	23.9648	24	23.9651	15	1	26.000000	0	0	24	23.8603	24	23.9134	16	1	81.000000	0	0	24	23.8775	24	23.769	
