file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-17_RNAi-31167.25750-1_group1_17,17,232.826,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_18,18,150.485,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_19,19,173.15,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_20,20,120.472,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_29,29,140.402,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_30,30,152.401,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_31,31,202.546,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_32,32,152.401,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-31167.25750-1_group1_33,33,144.518,2021-03-17,group1,1,31167,25750,31167_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_17,17,183.377,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_18,18,82.32,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_19,19,117.478,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_20,20,166.199,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_21,21,197.291,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_29,29,149.042,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_30,30,111.283,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_31,31,118.447,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_32,32,110.156,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-35027.25750-1_group1_33,33,130.537,2021-03-17,group1,1,35027,25750,35027_25750,attP2,FBgn0038853
2021-03-17_RNAi-36303-1_group1_17,17,228.326,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_18,18,202.038,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_19,19,120.273,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_20,20,122.394,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_21,21,82.485,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_29,29,159.31,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
2021-03-17_RNAi-36303-1_group1_30,30,87.293,2021-03-17,group1,1,36303,NA,36303_NA,"NA","NA"
