FileName,Chamber,...3,file,incapacitation,Rvar,date,group,chamber,rep,genotype,cross
2021-03-17_RNAi-31167.25750-1_group1,17,NA,2021-03-17_RNAi-31167.25750-1_group1_17,171.992,7.240400000000022,2021-03-17,group1,17,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,18,NA,2021-03-17_RNAi-31167.25750-1_group1_18,110.814,2.6403999999999996,2021-03-17,group1,18,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,19,NA,2021-03-17_RNAi-31167.25750-1_group1_19,226.419,16.012699999999995,2021-03-17,group1,19,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,20,NA,2021-03-17_RNAi-31167.25750-1_group1_20,98.539,15.442800000000005,2021-03-17,group1,20,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,29,NA,2021-03-17_RNAi-31167.25750-1_group1_29,103.906,6.445599999999956,2021-03-17,group1,29,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,30,NA,2021-03-17_RNAi-31167.25750-1_group1_30,148.186,4.678500000000014,2021-03-17,group1,30,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,31,NA,2021-03-17_RNAi-31167.25750-1_group1_31,161.644,11.001100000000008,2021-03-17,group1,31,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,32,NA,2021-03-17_RNAi-31167.25750-1_group1_32,114.909,8.405200000000008,2021-03-17,group1,32,1,31167,25750
2021-03-17_RNAi-31167.25750-1_group1,33,NA,2021-03-17_RNAi-31167.25750-1_group1_33,110.814,14.467900000000014,2021-03-17,group1,33,1,31167,25750
2021-03-17_RNAi-35027.25750-1_group1,17,NA,2021-03-17_RNAi-35027.25750-1_group1_17,98.701,3.24939999999998,2021-03-17,group1,17,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,18,NA,2021-03-17_RNAi-35027.25750-1_group1_18,98.114,8.518400000000014,2021-03-17,group1,18,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,19,NA,2021-03-17_RNAi-35027.25750-1_group1_19,62.786,9.61099999999999,2021-03-17,group1,19,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,20,NA,2021-03-17_RNAi-35027.25750-1_group1_20,89.866,2.478399999999965,2021-03-17,group1,20,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,21,NA,2021-03-17_RNAi-35027.25750-1_group1_21,117.478,1.956200000000024,2021-03-17,group1,21,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,29,NA,2021-03-17_RNAi-35027.25750-1_group1_29,83.343,1.5749999999999886,2021-03-17,group1,29,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,30,NA,2021-03-17_RNAi-35027.25750-1_group1_30,65.902,6.146699999999953,2021-03-17,group1,30,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,31,NA,2021-03-17_RNAi-35027.25750-1_group1_31,293.342,248.9691,2021-03-17,group1,31,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,32,NA,2021-03-17_RNAi-35027.25750-1_group1_32,59.212,3.0220999999999947,2021-03-17,group1,32,1,35027,25750
2021-03-17_RNAi-35027.25750-1_group1,33,NA,2021-03-17_RNAi-35027.25750-1_group1_33,85.104,293.4902,2021-03-17,group1,33,1,35027,25750
2021-03-17_RNAi-36303-1_group1,17,NA,2021-03-17_RNAi-36303-1_group1_17,123.981,9.773800000000023,2021-03-17,group1,17,1,36303,
2021-03-17_RNAi-36303-1_group1,18,NA,2021-03-17_RNAi-36303-1_group1_18,110.542,3.775599999999997,2021-03-17,group1,18,1,36303,
2021-03-17_RNAi-36303-1_group1,19,NA,2021-03-17_RNAi-36303-1_group1_19,67.013,5.402600000000007,2021-03-17,group1,19,1,36303,
2021-03-17_RNAi-36303-1_group1,20,NA,2021-03-17_RNAi-36303-1_group1_20,67.592,1.330000000000041,2021-03-17,group1,20,1,36303,
2021-03-17_RNAi-36303-1_group1,21,NA,2021-03-17_RNAi-36303-1_group1_21,45.107,2.094699999999989,2021-03-17,group1,21,1,36303,
2021-03-17_RNAi-36303-1_group1,29,NA,2021-03-17_RNAi-36303-1_group1_29,86.761,1.4459999999999695,2021-03-17,group1,29,1,36303,
2021-03-17_RNAi-36303-1_group1,30,NA,2021-03-17_RNAi-36303-1_group1_30,51.203,9.691900000000004,2021-03-17,group1,30,1,36303,
2021-03-17_RNAi-36303-1_group1,31,NA,2021-03-17_RNAi-36303-1_group1_31,307.331,372.7928,2021-03-17,group1,31,1,36303,
2021-03-17_RNAi-36303-1_group1,32,NA,2021-03-17_RNAi-36303-1_group1_32,72.392,3.6358000000000175,2021-03-17,group1,32,1,36303,
2021-03-17_RNAi-36303-1_group1,33,NA,2021-03-17_RNAi-36303-1_group1_33,67.013,6.177399999999977,2021-03-17,group1,33,1,36303,
2021-03-17_RNAi-36304-1_group1,17,NA,2021-03-17_RNAi-36304-1_group1_17,78.809,1.9873999999999796,2021-03-17,group1,17,1,36304,
2021-03-17_RNAi-36304-1_group1,18,NA,2021-03-17_RNAi-36304-1_group1_18,55.684,8.162000000000006,2021-03-17,group1,18,1,36304,
2021-03-17_RNAi-36304-1_group1,19,NA,2021-03-17_RNAi-36304-1_group1_19,83.631,5.187299999999993,2021-03-17,group1,19,1,36304,
