"patRIL"	"Incapacitation_Mean"	"Incapacitation_SEM"	"N"	"Percentile_ThermTol"	"Tolsqrtvariable"	"hard"	"hprob"	"type"	"sort"
11369	48.5185185185185	3.71417109255624	54	0.00944669365721997	6.96552356384777	"A4"	0.99997	"L"	1
12279	299.326923076923	15.5517120432609	52	0.993252361673414	17.3010671080406	"A5"	0.997083	"H"	2
11255	74.8611111111111	8.77635324012453	72	0.0634278002699055	8.65223156827827	"A4"	0.999975	"L"	3
12191	255.348837209302	16.4004727979592	43	0.975708502024291	15.9796382064583	"A5"	0.999976	"H"	4
11466	76.9230769230769	5.31181460230122	78	0.0674763832658569	8.77058019307029	"A4"	0.999975	"L"	5
12062	253.846153846154	15.2328754856767	65	0.974358974358974	15.9325501363138	"A5"	0.997472	"H"	6
11037	77.9824561403509	5.2309740719964	57	0.0728744939271255	8.83076758500363	"A4"	0.999974	"L"	7
12357	247.692307692308	16.2578798266153	52	0.973009446693657	15.7382434754425	"A5"	0.990175	"H"	8
11336	78.5245901639344	4.49854904096605	61	0.0769230769230769	8.86141016790976	"A4"	0.999975	"L"	9
12301	242.301587301587	12.1949859783059	63	0.966261808367072	15.5660395509451	"A5"	0.99722	"H"	10
11153	78.8028169014084	5.18613767957553	71	0.0796221322537112	8.87709507110341	"A4"	0.988041	"L"	11
12050	235.928571428571	10.2687957533009	70	0.958164642375169	15.3599665178207	"A5"	0.999674	"H"	12
11481	79.1964285714286	5.15156133455416	56	0.0836707152496626	8.8992375275317	"A4"	0.999975	"L"	13
12145	235.909090909091	15.2110528615299	44	0.956815114709852	15.3593323718543	"A5"	0.999978	"H"	14
11305	86.1486486486486	6.51767404425971	74	0.116059379217274	9.28162963324053	"A4"	0.999975	"L"	15
12097	231.866666666667	14.2075266606758	75	0.9527665317139	15.2271687015895	"A5"	0.995584	"H"	16
11360	92.5925925925926	7.97088160380906	54	0.156545209176788	9.62250448649376	"A4"	0.999975	"L"	17
12169	226.484375	16.7663239602671	64	0.940620782726046	15.0493978284847	"A5"	0.997486	"H"	18
12390	93.0645161290323	5.98269454669017	62	0.163292847503374	9.64699518653515	"A4"	0.999973	"L"	19
12075	219.262295081967	13.4371823589723	61	0.927125506072874	14.8075080645586	"A5"	0.99995	"H"	20
11358	94.6666666666667	8.2995359841252	60	0.175438596491228	9.72967967955095	"A4"	0.999973	"L"	21
12381	218.039215686275	16.5914450146445	51	0.92442645074224	14.7661510112241	"A5"	0.997456	"H"	22
11316	104.107142857143	9.13828391103001	56	0.253711201079622	10.20329078568	"A4"	0.999971	"L"	23
12272	197.397959183673	9.4775221003275	98	0.873144399460189	14.0498384041836	"A5"	0.999976	"H"	24
