"class"	"RIL"
"L"	12022
"L"	12372
"L"	12075
"L"	12300
"L"	11189
"L"	12285
"L"	12044
"L"	12138
"L"	11320
"L"	11048
"L"	11016
"L"	12213
"L"	11321
"L"	12280
"L"	11155
"L"	11310
"L"	11307
"L"	12084
"L"	12094
"L"	11338
"L"	12304
"L"	12324
"L"	11038
"L"	12253
"L"	12141
"L"	12222
"L"	12010
"H"	12077
"H"	11140
"H"	11117
"H"	12136
"H"	12056
"H"	11284
"H"	11110
"H"	11252
"H"	12039
"H"	12227
"H"	11122
"H"	11409
"H"	11477
"H"	11265
"H"	12048
"H"	11375
"H"	12001
"H"	11003
"H"	11065
"H"	11196
"H"	11469
"H"	11079
"H"	11486
"H"	11444
"H"	11035
"H"	12236
