gene_id,AH_1,AH_3,AL_1,AL_2,AL_3,AL_4,AL_5
FBgn0266045,0,0,12,0,10,3,8
FBgn0266040,0,0,0,0,0,0,0
MSTRG.19848,588,461,277,223,811,287,290
MSTRG.19849,379,252,260,327,952,280,272
MSTRG.19846,53,22,32,23,72,45,53
MSTRG.19847,659,466,480,367,1598,433,481
MSTRG.19844,45,34,27,23,59,19,9
MSTRG.19845,1131,738,638,506,2612,812,952
MSTRG.19842,493,328,348,314,869,385,394
MSTRG.19843,757,688,503,478,994,407,326
MSTRG.19840,38,5,25,22,37,14,11
MSTRG.19841,3,7,3,2,17,2,0
MSTRG.15172,137,120,129,135,219,105,68
MSTRG.15173,10559,5553,7308,7945,21617,8827,8331
MSTRG.15170,0,0,0,0,2,3,0
MSTRG.15171,0,0,0,2,5,0,0
MSTRG.15176,0,2,11,12,13,3,4
MSTRG.15177,250,287,237,285,539,238,272
FBgn0038241,0,3,0,0,2,0,0
FBgn0038240,7,2,0,2,2,0,2
MSTRG.15178,291,229,184,173,706,250,216
MSTRG.15179,21,3,10,3,19,24,9
MSTRG.10522,615,297,341,273,1267,369,381
MSTRG.10523,11,0,19,4,33,0,2
MSTRG.10520,146,72,123,76,359,109,131
MSTRG.10521,5,12,7,3,10,3,0
MSTRG.10526,2,0,4,1,2,3,0
MSTRG.10527,4963,3786,3777,4196,9474,3592,3563
MSTRG.10524,0,0,0,2,14,6,13
MSTRG.10525,46,42,64,40,207,35,57
MSTRG.10528,522,293,426,307,971,338,278
MSTRG.10529,1242,987,1012,1134,2895,1204,1328
MSTRG.5660,18,15,5,10,25,10,9
MSTRG.5661,0,4,1,0,2,0,0
MSTRG.5662,0,0,3,3,24,8,17
MSTRG.5663,0,6,4,6,25,4,4
MSTRG.5664,47642,31450,27018,22153,86703,27015,34443
MSTRG.5665,822,602,513,481,1284,420,494
MSTRG.5666,0,0,0,0,0,0,0
MSTRG.5667,2718,2206,1781,1808,4307,1588,1660
FBgn0267313,4,0,0,0,0,0,0
MSTRG.5669,37,5,7,7,36,14,10
FBgn0267316,0,3,0,0,4,2,2
FBgn0267315,0,0,0,0,0,0,0
FBgn0267314,3,0,0,0,0,0,2
MSTRG.3848,6,3,2,5,0,10,3
MSTRG.3849,1387,676,876,564,2866,921,846
MSTRG.3842,15,2,6,10,19,6,1
MSTRG.3843,913,788,717,577,1743,565,569
MSTRG.3840,117,73,37,73,133,20,43
MSTRG.3841,138,71,111,106,512,91,124
MSTRG.3846,14,17,16,11,84,17,18
MSTRG.3847,15,7,2,6,24,4,5
MSTRG.3844,14,12,15,1,48,6,10
MSTRG.3845,1594,938,1014,866,3362,959,904
FBgn0265812,0,0,0,0,0,0,0
FBgn0265816,2,0,0,0,1,0,0
MSTRG.18718,941,578,310,351,775,271,352
FBgn0265814,35,13,56,48,120,47,79
FBgn0265815,2,0,0,0,3,1,0
MSTRG.18715,0,4,10,15,31,6,22
MSTRG.18714,17,10,28,38,76,21,33
MSTRG.18717,0,0,2,1,0,2,2
MSTRG.18716,3,0,12,5,4,10,5
MSTRG.18711,3478,3838,3317,2939,6790,2376,2280
MSTRG.18710,375,469,338,282,645,284,225
MSTRG.18713,8,16,27,38,112,25,24
MSTRG.18712,6,0,9,12,21,7,10
MSTRG.6311,141,140,148,141,386,118,96
MSTRG.6310,9434,7880,6829,9602,19609,9258,8025
MSTRG.6313,14,18,18,11,13,3,12
MSTRG.6312,73,48,29,29,58,35,51
MSTRG.6315,203,285,246,167,384,162,157
MSTRG.6314,754,585,591,549,1355,455,396
MSTRG.6317,3582,5123,2710,1973,5892,2263,1907
MSTRG.6316,330,341,234,271,588,231,216
MSTRG.6319,668,606,604,549,1356,450,526
MSTRG.6318,0,0,0,0,0,0,0
MSTRG.208,0,0,0,2,0,0,3
MSTRG.209,0,0,0,0,0,0,12
MSTRG.204,5595,3766,5221,6784,4150,93,3432
MSTRG.205,5595,3766,5221,6774,4150,0,3432
MSTRG.206,32,17,36,42,63,29,35
MSTRG.207,7,0,0,0,8,3,0
MSTRG.200,0,0,0,0,0,0,8
MSTRG.201,8321,6866,6590,5701,1925,7696,8987
MSTRG.202,8321,6866,6590,5701,1925,7696,8987
MSTRG.203,0,0,0,0,0,0,4
MSTRG.9992,19,11,14,19,68,8,19
MSTRG.9993,7,14,17,49,65,23,23
MSTRG.9990,2,4,4,14,32,14,4
MSTRG.9991,174,225,150,115,251,110,134
MSTRG.9996,31,23,51,35,132,34,37
MSTRG.9997,21,10,19,46,60,13,18
MSTRG.9994,12,2,4,10,0,11,8
MSTRG.9995,9,0,0,5,6,0,3
MSTRG.9998,12,5,29,17,49,25,15
MSTRG.9999,26,8,22,27,79,21,33
FBgn0051225,0,0,0,1,4,0,3
FBgn0051220,0,4,7,7,5,3,7
FBgn0085511,0,0,0,0,0,0,1
FBgn0032111,0,0,0,0,3,0,0
FBgn0032110,0,0,0,3,3,3,0
FBgn0275432,0,2,0,4,2,1,10
FBgn0275434,0,0,6,9,9,0,10
MSTRG.6900,2234,1322,1068,1272,3420,1486,1581
MSTRG.6901,14,6,5,8,9,1,4
MSTRG.12337,193,213,7368,407,23211,263,5436
MSTRG.6903,224,125,126,215,327,92,128
MSTRG.15174,4,0,11,31,10,3,4
MSTRG.12331,498,387,560,0,721,377,246
MSTRG.15175,11,7,13,24,63,11,12
MSTRG.12330,309,242,560,485,866,377,131
