"feature","id","fc","pval","qval","tname"
"gene","MSTRG.12387",0.217467301853536,3.15429395936206e-08,0.000257485015902725,"MSTRG.12387.1"
"gene","MSTRG.4100",4.32670839477601,1.34409357732679e-06,0.00492667969092764,"MSTRG.4100.1"
"gene","MSTRG.11467",5.40245529105372,1.81061363135893e-06,0.00492667969092764,"MSTRG.11467.1"
"gene","MSTRG.9405",11.377092282321,1.00471648931677e-05,0.0192654798401289,"FBtr0346844"
"gene","MSTRG.4351",3.14754464014587,1.18191724705063e-05,0.0192654798401289,"MSTRG.4351.1"
"gene","MSTRG.35",2.75986802771951,1.41605879016016e-05,0.0192654798401289,"MSTRG.35.1"
"gene","MSTRG.14209",0.296629165641707,2.30631750934851e-05,0.024896884953779,"MSTRG.14209.2"
"gene","MSTRG.5741",0.626939945731155,2.43997402462615e-05,0.024896884953779,"FBtr0087881"
"gene","MSTRG.14523",2.91902585347121,2.89812402215484e-05,0.0262859848809444,"MSTRG.14523.1"
"gene","MSTRG.14318",0.381290163589277,3.84577181016255e-05,0.0313930352863569,"FBtr0082825"
"gene","MSTRG.4821",0.680796794109672,4.62265090050984e-05,0.0321160552153876,"FBtr0310025"
"gene","MSTRG.14210",0.213133885211812,4.72121355610255e-05,0.0321160552153876,"MSTRG.14210.1"
"gene","MSTRG.9069",3.25404680428364,5.16500642206985e-05,0.0321698358470468,"MSTRG.9069.1"
"gene","MSTRG.20447",0.391260260586653,5.51730616021873e-05,0.0321698358470468,"MSTRG.20447.1"
"gene","MSTRG.905",5.74541793779564,6.34468359930196e-05,0.0345277681474013,"MSTRG.905.1"
"gene","MSTRG.13501",0.50597166975723,7.40102374998663e-05,0.0377590980444631,"MSTRG.13501.1"
"gene","MSTRG.13629",0.174006968985331,7.95110637068497e-05,0.0381793419434714,"MSTRG.13629.1"
"gene","MSTRG.14441",0.251857572438164,9.01602923544242e-05,0.0405830827752909,"FBtr0082954"
"gene","MSTRG.15417",2.76545773754024,9.44601951158308e-05,0.0405830827752909,"FBtr0083978"
"gene","MSTRG.5692",0.346846212810277,0.000123966869375991,0.0496282274840418,"FBtr0087920"
"gene","MSTRG.1110",0.570075073529458,0.000130639731108273,0.0496282274840418,"MSTRG.1110.1"
"gene","MSTRG.9108",0.697807835902771,0.000139456655095627,0.0496282274840418,"FBtr0333264"
"gene","MSTRG.9539",2.76244772145055,0.000139832075478741,0.0496282274840418,"FBtr0076689"
"gene","MSTRG.5388",2.40832292061671,0.000170985535883239,0.0529394704458279,"MSTRG.5388.1"
"gene","MSTRG.14412",0.437175429257815,0.000171719761473454,0.0529394704458279,"MSTRG.14412.1"
"gene","MSTRG.3760",4.81816598457789,0.000183808569531374,0.0529394704458279,"MSTRG.3760.1"
"gene","MSTRG.3734",0.359468101868334,0.00018574863135612,0.0529394704458279,"FBgn0053317"
"gene","MSTRG.5739",0.670746088352926,0.00018670850055591,0.0529394704458279,"FBtr0333102"
"gene","MSTRG.13388",3.63221411553469,0.00018873262445751,0.0529394704458279,"FBtr0081854"
"gene","MSTRG.9070",1.71105823124855,0.000199460219616143,0.0529394704458279,"MSTRG.9070.1"
"gene","MSTRG.20302",2.56573169841193,0.000202929620645165,0.0529394704458279,"FBtr0290003"
"gene","MSTRG.9817",0.720934030701572,0.000207529468855383,0.0529394704458279,"FBtr0076382"
"gene","MSTRG.5234",0.657773425925195,0.000232930103442386,0.0576184374060665,"FBtr0088459"
"gene","MSTRG.13874",0.492540999060042,0.000250409482929648,0.0601203708574916,"FBtr0082374"
"gene","MSTRG.18960",0.607572978298404,0.000258572347638708,0.0603064592507078,"FBtr0340479"
"gene","MSTRG.9688",0.414260710039129,0.000270191308971768,0.0612658793093483,"FBtr0076559"
"gene","MSTRG.13721",0.784537318914974,0.000310117697369439,0.064378896568814,"FBtr0110786"
"gene","MSTRG.11820",0.380391642634755,0.000310255190899555,0.064378896568814,"FBtr0078424"
"gene","MSTRG.19192",0.370470186347421,0.000315358651298281,0.064378896568814,"FBtr0073511"
"gene","MSTRG.9737",0.556337209430202,0.000333576132351965,0.064378896568814,"MSTRG.9737.4"
"gene","MSTRG.17860",0.78170671057567,0.0003352918004349,0.064378896568814,"MSTRG.17860.3"
"gene","MSTRG.10879",0.691486468986516,0.000338423420745859,0.064378896568814,"FBtr0075492"
"gene","MSTRG.16881",0.518383729960452,0.000339126859299155,0.064378896568814,"FBtr0085455"
"gene","MSTRG.10065",0.350257230596722,0.000351137102528098,0.0651439129076561,"FBtr0076209"
"gene","MSTRG.18092",2.75168743912197,0.000389209227601106,0.0690749409224032,"MSTRG.18092.1"
"gene","MSTRG.7336",0.693051205375352,0.000390373892097839,0.0690749409224032,"FBtr0071609"
"gene","MSTRG.7305",0.4126259983126,0.000397711897997421,0.0690749409224032,"MSTRG.7305.1"
"gene","MSTRG.15783",0.759608656395466,0.000439952733936932,0.0748194618151496,"FBtr0303508"
"gene","MSTRG.2860",1.91087343483855,0.000471858175018602,0.0777017045938037,"MSTRG.2860.1"
"gene","MSTRG.1109",0.514230548754347,0.000482962434811274,0.0777017045938037,"FBtr0077417"
"gene","MSTRG.8866",1.36262117660519,0.000485457176808035,0.0777017045938037,"FBtr0073219"
"gene","MSTRG.15462",1.35854498854668,0.000496915481463911,0.0780061745228828,"FBtr0084016"
"gene","MSTRG.4569",0.58924531013078,0.00050862408381025,0.0781667667332742,"FBtr0085991"
"gene","MSTRG.11431",1.24731848868087,0.000517089967364548,0.0781667667332742,"FBtr0472920"
"gene","MSTRG.17700",0.754453772411855,0.000592098368645488,0.0878781633318749,"FBtr0070368"
"gene","MSTRG.14763",0.622179218230559,0.000624210049507967,0.0909897613238131,"FBtr0083360"
"gene","MSTRG.8833",1.3283769418112,0.000676356609454754,0.0968613860171781,"FBtr0073165"
"gene","MSTRG.2520",0.756218170105057,0.000696339603737162,0.0980037962983871,"FBtr0080418"
"gene","MSTRG.14172",0.63891755582008,0.000724829001897076,0.100284392245523,"FBtr0330025"
"gene","MSTRG.11939",0.348000333767969,0.000753131770615312,0.101105434733513,"FBtr0345397"
"gene","MSTRG.7466",0.430918942452116,0.000755534915930944,0.101105434733513,"FBtr0071762"
"gene","MSTRG.5106",0.66743656963366,0.00084201413843088,0.110236429211978,"FBtr0344469"
"gene","MSTRG.6007",0.791582045587538,0.00087204861308976,0.110236429211978,"FBtr0087532"
"gene","MSTRG.5789",0.610467969108925,0.000876526683260659,0.110236429211978,"FBtr0087788"
"gene","MSTRG.14525",0.664477363071201,0.000878228612311016,0.110236429211978,"MSTRG.14525.2"
"gene","MSTRG.1223",1.34112844578648,0.000891290497120001,0.110236429211978,"MSTRG.1223.1"
"gene","MSTRG.12297",2.27818565616914,0.000926396527570428,0.112053643990032,"MSTRG.12297.2"
"gene","MSTRG.7985",0.838171455279219,0.00093636797987251,0.112053643990032,"FBtr0308687"
"gene","MSTRG.3693",4.42597694660826,0.000949723743423392,0.112053643990032,"MSTRG.3693.1"
"gene","MSTRG.2017",1.57317230976099,0.000960891226179372,0.112053643990032,"MSTRG.2017.1"
"gene","MSTRG.13790",0.585808106410756,0.000999891372023498,0.114959341828561,"FBtr0082267"
"gene","MSTRG.3570",0.685056726938233,0.00106765048580826,0.121044873828511,"FBtr0310561"
"gene","MSTRG.12744",2.67493113961073,0.00112672352708532,0.123581495629682,"MSTRG.12744.1"
"gene","MSTRG.1974",3.39757488097116,0.00112879457403259,0.123581495629682,"MSTRG.1974.1"
"gene","MSTRG.550",0.722812987705263,0.00113544189295922,0.123581495629682,"FBtr0077988"
"gene","MSTRG.7068",0.422066485536772,0.00118300813102135,0.127064412809569,"FBtr0305677"
"gene","MSTRG.3645",2.00636751625164,0.00126640753646334,0.129958930203816,"FBtr0081365"
"gene","MSTRG.7532",0.34115229429972,0.00127557333156669,0.129958930203816,"MSTRG.7532.2"
