"feature","id","fc","pval","qval","tname"
"gene","MSTRG.12387",0.217467301853536,3.15429395936206e-08,0.000257485015902725,"MSTRG.12387.1"
"gene","MSTRG.4100",4.32670839477601,1.34409357732679e-06,0.00492667969092764,"MSTRG.4100.1"
"gene","MSTRG.11467",5.40245529105372,1.81061363135893e-06,0.00492667969092764,"MSTRG.11467.1"
"gene","MSTRG.9405",11.377092282321,1.00471648931677e-05,0.0192654798401289,"FBtr0346844"
"gene","MSTRG.4351",3.14754464014587,1.18191724705063e-05,0.0192654798401289,"MSTRG.4351.1"
"gene","MSTRG.35",2.75986802771951,1.41605879016016e-05,0.0192654798401289,"MSTRG.35.1"
"gene","MSTRG.14209",0.296629165641707,2.30631750934851e-05,0.024896884953779,"MSTRG.14209.2"
"gene","MSTRG.5741",0.626939945731155,2.43997402462615e-05,0.024896884953779,"FBtr0087881"
"gene","MSTRG.14523",2.91902585347121,2.89812402215484e-05,0.0262859848809444,"MSTRG.14523.1"
"gene","MSTRG.14318",0.381290163589277,3.84577181016255e-05,0.0313930352863569,"FBtr0082825"
"gene","MSTRG.4821",0.680796794109672,4.62265090050984e-05,0.0321160552153876,"FBtr0310025"
"gene","MSTRG.14210",0.213133885211812,4.72121355610255e-05,0.0321160552153876,"MSTRG.14210.1"
"gene","MSTRG.9069",3.25404680428364,5.16500642206985e-05,0.0321698358470468,"MSTRG.9069.1"
"gene","MSTRG.20447",0.391260260586653,5.51730616021873e-05,0.0321698358470468,"MSTRG.20447.1"
"gene","MSTRG.905",5.74541793779564,6.34468359930196e-05,0.0345277681474013,"MSTRG.905.1"
"gene","MSTRG.13501",0.50597166975723,7.40102374998663e-05,0.0377590980444631,"MSTRG.13501.1"
"gene","MSTRG.13629",0.174006968985331,7.95110637068497e-05,0.0381793419434714,"MSTRG.13629.1"
"gene","MSTRG.14441",0.251857572438164,9.01602923544242e-05,0.0405830827752909,"FBtr0082954"
"gene","MSTRG.15417",2.76545773754024,9.44601951158308e-05,0.0405830827752909,"FBtr0083978"
"gene","MSTRG.5692",0.346846212810277,0.000123966869375991,0.0496282274840418,"FBtr0087920"
"gene","MSTRG.1110",0.570075073529458,0.000130639731108273,0.0496282274840418,"MSTRG.1110.1"
"gene","MSTRG.9108",0.697807835902771,0.000139456655095627,0.0496282274840418,"FBtr0333264"
"gene","MSTRG.9539",2.76244772145055,0.000139832075478741,0.0496282274840418,"FBtr0076689"
