"feature","id","pval","qval","tname"
"gene","MSTRG.10439",0,0,"MSTRG.10439.1"
"gene","MSTRG.10527",0,0,"FBtr0075806"
"gene","MSTRG.12459",0,0,"MSTRG.12459.1"
"gene","MSTRG.14031",0,0,"FBtr0082512"
"gene","MSTRG.14035",0,0,"FBtr0082482"
"gene","MSTRG.14139",0,0,"MSTRG.14139.1"
"gene","MSTRG.14140",0,0,"MSTRG.14140.1"
"gene","MSTRG.14141",0,0,"MSTRG.14141.1"
"gene","MSTRG.14142",0,0,"MSTRG.14142.1"
"gene","MSTRG.14143",0,0,"MSTRG.14143.1"
"gene","MSTRG.15961",0,0,"FBtr0084589"
"gene","MSTRG.1640",0,0,"FBtr0290272"
"gene","MSTRG.1644",0,0,"MSTRG.1644.1"
"gene","MSTRG.1645",0,0,"MSTRG.1645.1"
"gene","MSTRG.1647",0,0,"FBtr0079499"
"gene","MSTRG.17385",0,0,"MSTRG.17385.1"
"gene","MSTRG.20953",0,0,"MSTRG.20953.1"
"gene","MSTRG.21064",0,0,"MSTRG.21064.1"
"gene","MSTRG.21066",0,0,"MSTRG.21066.1"
"gene","MSTRG.254",0,0,"MSTRG.254.1"
"gene","MSTRG.4034",0,0,"MSTRG.4034.1"
"gene","MSTRG.4214",0,0,"MSTRG.4214.1"
"gene","MSTRG.4408",0,0,"MSTRG.4408.1"
"gene","MSTRG.4469",0,0,"MSTRG.4469.1"
"gene","MSTRG.4596",0,0,"MSTRG.4596.1"
"gene","MSTRG.5005",0,0,"FBtr0290280"
"gene","MSTRG.6136",0,0,"FBtr0087451"
"gene","MSTRG.8580",0,0,"FBtr0345027"
"gene","MSTRG.8675",0,0,"FBtr0332873"
"gene","MSTRG.9081",0,0,"FBtr0077123"
"gene","MSTRG.9748",0,0,"FBtr0076497"
"gene","MSTRG.9751",0,0,"FBtr0076496"
"gene","MSTRG.9755",0,0,"FBtr0076453"
"gene","MSTRG.9757",0,0,"FBtr0076454"
"gene","MSTRG.9760",0,0,"FBtr0309505"
"gene","MSTRG.16030",1.11022302462516e-16,2.48011487889875e-14,"FBtr0084611"
"gene","MSTRG.11725",2.22044604925031e-16,4.6991650337029e-14,"FBtr0089463"
"gene","MSTRG.9657",2.22044604925031e-16,4.6991650337029e-14,"MSTRG.9657.1"
"gene","MSTRG.8639",4.44089209850063e-16,9.15734724516462e-14,"MSTRG.8639.2"
"gene","MSTRG.1646",6.66133814775094e-16,1.30659710693203e-13,"MSTRG.1646.1"
"gene","MSTRG.9749",6.66133814775094e-16,1.30659710693203e-13,"FBtr0100653"
"gene","MSTRG.14144",7.7715611723761e-16,1.48806892733925e-13,"MSTRG.14144.1"
"gene","MSTRG.16216",1.11022302462516e-15,2.07637524745012e-13,"FBgn0263002"
"gene","MSTRG.7593",1.22124532708767e-15,2.23210339100888e-13,"FBtr0071883"
"gene","MSTRG.5300",1.99840144432528e-15,3.5713654256142e-13,"FBtr0331945"
"gene","MSTRG.1450",2.22044604925031e-15,3.881918940885e-13,"FBtr0343863"
"gene","MSTRG.9069",2.66453525910038e-15,4.55918990503941e-13,"MSTRG.9069.1"
"gene","MSTRG.10572",3.5527136788005e-15,5.95227570935701e-13,"FBtr0075771"
"gene","MSTRG.11726",3.77475828372553e-15,6.19522573831035e-13,"MSTRG.11726.1"
"gene","MSTRG.905",4.32986979603811e-15,6.9641625799477e-13,"MSTRG.905.1"
"gene","MSTRG.10931",4.88498130835069e-15,7.70294503563848e-13,"FBtr0075369"
"gene","MSTRG.6866",6.43929354282591e-15,9.95861512911653e-13,"FBtr0344533"
"gene","MSTRG.8334",1.11022302462516e-14,1.68460633283689e-12,"FBtr0072670"
"gene","MSTRG.2736",1.14352971536391e-14,1.68828183756308e-12,"FBtr0080591"
"gene","MSTRG.11233",1.15463194561016e-14,1.68828183756308e-12,"MSTRG.11233.1"
"gene","MSTRG.18292",1.24344978758018e-14,1.7856827128071e-12,"FBtr0070821"
"gene","MSTRG.6436",1.31006316905768e-14,1.84833824658981e-12,"FBtr0087092"
"gene","MSTRG.13036",1.54321000422897e-14,2.13974049207058e-12,"MSTRG.13036.1"
"gene","MSTRG.1948",1.79856129989275e-14,2.45153050402331e-12,"FBtr0079856"
"gene","MSTRG.17818",1.86517468137026e-14,2.49995579792994e-12,"FBtr0070477"
"gene","MSTRG.14602",1.90958360235527e-14,2.51751989018706e-12,"MSTRG.14602.1"
"gene","MSTRG.20690",1.99840144432528e-14,2.59212006697805e-12,"MSTRG.20690.1"
"gene","MSTRG.5080",2.06501482580279e-14,2.63600781414382e-12,"FBtr0088559"
