#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	CYTOGENETIC_MAP	GO_BIOLOGICAL_PROCESS	GO_CELLULAR_COMPONENT	GO_MOLECULAR_FUNCTION	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	RECOMBINATION_MAP	REFSEQ_POLYPEPTIDE	REFSEQ_TRANSCRIPT	SYMBOL
FBgn0000055	FBgn0000055	CG3481	35B3-35B3	alcohol catabolic process ; GO:0046164 | inferred from mutant phenotype <newline> ethanol metabolic process ; GO:0006067 | inferred from mutant phenotype <newline> behavioral response to ethanol ; GO:0048149 | inferred from mutant phenotype <newline> alcohol metabolic process ; GO:0006066 | inferred from direct assay <newline> ethanol oxidation ; GO:0006069 | inferred from direct assay <newline> acetaldehyde metabolic process ; GO:0006117 | inferred from direct assay <newline> oxidation-reduction process ; GO:0055114 | inferred from direct assay <newline> acetaldehyde metabolic process ; GO:0006117 | inferred from mutant phenotype	macromolecular complex ; GO:0032991 | inferred from physical interaction with Adh <newline> cytosol ; GO:0005829 | inferred from direct assay	protein homodimerization activity ; GO:0042803 | inferred from physical interaction with Adh <newline> alcohol dehydrogenase (NAD) activity ; GO:0004022 | inferred from direct assay <newline> alcohol dehydrogenase (NAD) activity ; GO:0004022 | inferred from mutant phenotype <newline> acetaldehyde dehydrogenase (acetylating) activity ; GO:0008774 | inferred from direct assay	2L	14618902	14615552	1	Alcohol dehydrogenase	2-50	REFSEQ:NP_001027266 <newline> REFSEQ:NP_001027267 <newline> REFSEQ:NP_001027268 <newline> REFSEQ:NP_001027269 <newline> REFSEQ:NP_001027270	REFSEQ:NM_001032095 <newline> REFSEQ:NM_001032096 <newline> REFSEQ:NM_001032097 <newline> REFSEQ:NM_001032098 <newline> REFSEQ:NM_001032099	Adh
FBgn0001091	FBgn0001091	CG12055	43E17-43E17	oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR006424, InterPro:IPR020828, InterPro:IPR020829, InterPro:IPR020830, InterPro:IPR020831 <newline> glucose metabolic process ; GO:0006006 | inferred from electronic annotation with InterPro:IPR006424 <newline> somatic muscle development ; GO:0007525 | inferred from mutant phenotype <newline> myoblast fusion ; GO:0007520 | inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | inferred from expression pattern	M band ; GO:0031430 | inferred from direct assay <newline> Z disc ; GO:0030018 | inferred from direct assay	NADP binding ; GO:0050661 | inferred from electronic annotation with InterPro:IPR006424 <newline> NAD binding ; GO:0051287 | inferred from electronic annotation with InterPro:IPR006424 <newline> glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365 | inferred from direct assay	2R	7793380	7791901	-1	Glyceraldehyde 3 phosphate dehydrogenase 1	2-57	REFSEQ:NP_525108 <newline> REFSEQ:NP_001033936	REFSEQ:NM_080369 <newline> REFSEQ:NM_001038847	Gapdh1
FBgn0001168	FBgn0001168	CG6494	66D10-66D10	negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from mutant phenotype <newline> posterior head segmentation ; GO:0035289 | traceable author statement <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> R8 cell fate commitment ; GO:0007460 | non-traceable author statement <newline> trunk segmentation ; GO:0035290 | traceable author statement <newline> periodic partitioning by pair rule gene ; GO:0007366 | non-traceable author statement <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | traceable author statement <newline> salivary gland development ; GO:0007431 | traceable author statement <newline> cell morphogenesis ; GO:0000902 | inferred from mutant phenotype <newline> periodic partitioning by pair rule gene ; GO:0007366 | traceable author statement <newline> regulation of cellular metabolic process ; GO:0031323 | inferred from mutant phenotype <newline> response to hypoxia ; GO:0001666 | inferred from mutant phenotype <newline> tube morphogenesis ; GO:0035239 | inferred from mutant phenotype <newline> salivary gland morphogenesis ; GO:0007435 | inferred from mutant phenotype inferred from genetic interaction with hkb <newline> nervous system development ; GO:0007399 | traceable author statement <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from direct assay <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from mutant phenotype inferred from physical interaction with gro <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | traceable author statement <newline> membrane organization ; GO:0061024 | traceable author statement <newline> salivary gland morphogenesis ; GO:0007435 | traceable author statement <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype	nucleus ; GO:0005634 | inferred by curator from GO:0003677	protein dimerization activity ; GO:0046983 | inferred from electronic annotation with InterPro:IPR011598 <newline> E-box binding ; GO:0070888 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:P16371 <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> RNA polymerase II core promoter proximal region sequence-specific DNA binding ; GO:0000978 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with gro inferred from physical interaction with CtBP <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9V8P9 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with gro <newline> transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding ; GO:0001078 | inferred from direct assay	3L	8679253	8675759	1	hairy	3-26	REFSEQ:NP_523977 <newline> REFSEQ:NP_001014577	REFSEQ:NM_079253 <newline> REFSEQ:NM_001014577	h
FBgn0001208	FBgn0001208	CG7399	66A12-66A12	oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR001273, InterPro:IPR005961, InterPro:IPR018301, InterPro:IPR019773, InterPro:IPR019774 <newline> eye pigment biosynthetic process ; GO:0006726 | inferred from direct assay <newline> L-phenylalanine catabolic process ; GO:0006559 | inferred from mutant phenotype <newline> long-term memory ; GO:0007616 | inferred from genetic interaction with Ddc	-	iron ion binding ; GO:0005506 | inferred from electronic annotation with InterPro:IPR001273, InterPro:IPR018301 <newline> phenylalanine 4-monooxygenase activity ; GO:0004505 | inferred from direct assay <newline> phenylalanine 4-monooxygenase activity ; GO:0004505 | inferred from mutant phenotype	3L	7763166	7760453	1	Henna	3-21	REFSEQ:NP_523963 <newline> REFSEQ:NP_001014573 <newline> REFSEQ:NP_001261542 <newline> REFSEQ:NP_001261543	REFSEQ:NM_079239 <newline> REFSEQ:NM_001014573 <newline> REFSEQ:NM_001274613 <newline> REFSEQ:NM_001274614	Hn
FBgn0002567	FBgn0002567	CG8024	45B2-45B3	vesicle-mediated transport ; GO:0016192 | inferred from sequence or structural similarity with Rab11 <newline> regulation of neuron death ; GO:1901214 | inferred from mutant phenotype inferred from genetic interaction with UniProtKB:Q5S007 <newline> compound eye pigmentation ; GO:0048072 | inferred from genetic interaction with p <newline> melanosome organization ; GO:0032438 | inferred from biological aspect of ancestor with PANTHER:PTN000636041 <newline> Rab protein signal transduction ; GO:0032482 | inferred from sequence or structural similarity with Rab11 <newline> regulation of lipid storage ; GO:0010883 | inferred from mutant phenotype inferred from genetic interaction with bmm <newline> eye pigment precursor transport ; GO:0006856 | traceable author statement <newline> regulation of autophagy ; GO:0010506 | inferred from mutant phenotype <newline> ommochrome biosynthetic process ; GO:0006727 | inferred from mutant phenotype <newline> eye pigment granule organization ; GO:0008057 | inferred from mutant phenotype	synapse ; GO:0045202 | inferred from high throughput direct assay <newline> recycling endosome ; GO:0055037 | inferred from high throughput direct assay <newline> trans-Golgi network ; GO:0005802 | inferred from biological aspect of ancestor with PANTHER:PTN000636041 <newline> mitochondrion ; GO:0005739 | inferred from biological aspect of ancestor with PANTHER:PTN000636119 <newline> vesicle ; GO:0031982 | inferred from sequence or structural similarity with Rab11 <newline> melanosome ; GO:0042470 | inferred from biological aspect of ancestor with PANTHER:PTN000636041 <newline> autophagosome ; GO:0005776 | inferred from direct assay <newline> lysosome ; GO:0005764 | inferred from direct assay	GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001806, InterPro:IPR005225 <newline> GTPase activity ; GO:0003924 | inferred from sequence or structural similarity <newline> GTPase activity ; GO:0003924 | inferred from sequence or structural similarity with Rab11 <newline> protein binding ; GO:0005515 | inferred from physical interaction with ca	2R	9186342	9177864	-1	Rab32	2-60	REFSEQ:NP_525109 <newline> REFSEQ:NP_724765 <newline> REFSEQ:NP_724763 <newline> REFSEQ:NP_724764 <newline> REFSEQ:NP_001286238 <newline> REFSEQ:NP_724768 <newline> REFSEQ:NP_001286237	REFSEQ:NM_080370 <newline> REFSEQ:NM_165660 <newline> REFSEQ:NM_165658 <newline> REFSEQ:NM_165659 <newline> REFSEQ:NM_001299309 <newline> REFSEQ:NM_165663 <newline> REFSEQ:NM_001299308	Rab32
FBgn0003068	FBgn0003068	CG2647	3B1-3B2	circadian rhythm ; GO:0007623 | traceable author statement <newline> regulation of circadian rhythm ; GO:0042752 | inferred from mutant phenotype <newline> circadian rhythm ; GO:0007623 | inferred from mutant phenotype <newline> male courtship behavior, veined wing generated song production ; GO:0045433 | non-traceable author statement <newline> male courtship behavior, veined wing generated song production ; GO:0045433 | traceable author statement <newline> eclosion rhythm ; GO:0008062 | inferred from mutant phenotype <newline> negative regulation of transcription regulatory region DNA binding ; GO:2000678 | inferred from direct assay <newline> regulation of protein phosphorylation ; GO:0001932 | inferred from mutant phenotype <newline> entrainment of circadian clock ; GO:0009649 | inferred from mutant phenotype <newline> locomotor rhythm ; GO:0045475 | non-traceable author statement <newline> circadian temperature homeostasis ; GO:0060086 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> circadian behavior ; GO:0048512 | inferred from mutant phenotype <newline> long-term memory ; GO:0007616 | inferred from mutant phenotype <newline> eclosion rhythm ; GO:0008062 | traceable author statement <newline> copulation ; GO:0007620 | inferred from mutant phenotype <newline> courtship behavior ; GO:0007619 | non-traceable author statement <newline> response to temperature stimulus ; GO:0009266 | traceable author statement <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | traceable author statement <newline> regulation of circadian sleep/wake cycle, sleep ; GO:0045187 | inferred from mutant phenotype <newline> circadian regulation of gene expression ; GO:0032922 | inferred from mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | inferred from mutant phenotype <newline> circadian rhythm ; GO:0007623 | non-traceable author statement <newline> regulation of locomotor rhythm ; GO:1904059 | inferred from mutant phenotype <newline> locomotor rhythm ; GO:0045475 | inferred from mutant phenotype <newline> locomotor rhythm ; GO:0045475 | traceable author statement <newline> entrainment of circadian clock by photoperiod ; GO:0043153 | inferred from mutant phenotype <newline> response to oxidative stress ; GO:0006979 | inferred from mutant phenotype <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from direct assay <newline> eclosion rhythm ; GO:0008062 | non-traceable author statement <newline> rhythmic behavior ; GO:0007622 | traceable author statement <newline> age-dependent response to oxidative stress ; GO:0001306 | inferred from mutant phenotype <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | non-traceable author statement <newline> response to light stimulus ; GO:0009416 | traceable author statement <newline> circadian sleep/wake cycle ; GO:0042745 | traceable author statement <newline> mating behavior ; GO:0007617 | inferred from mutant phenotype <newline> behavioral response to cocaine ; GO:0048148 | non-traceable author statement	nucleus ; GO:0005634 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | traceable author statement <newline> cytoplasm ; GO:0005737 | non-traceable author statement <newline> nucleus ; GO:0005634 | non-traceable author statement <newline> nucleus ; GO:0005634 | traceable author statement	protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:O77059 <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with per <newline> protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with Clk <newline> protein heterodimerization activity ; GO:0046982 | non-traceable author statement <newline> transcription cofactor activity ; GO:0003712 | non-traceable author statement <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Clk <newline> protein binding ; GO:0005515 | inferred from physical interaction with dco inferred from physical interaction with tim inferred from physical interaction with Clk <newline> protein heterodimerization activity ; GO:0046982 | traceable author statement <newline> protein binding ; GO:0005515 | inferred from physical interaction with dco <newline> transcription corepressor activity ; GO:0003714 | traceable author statement	X	2692780	2685580	1	period	1-1.5	REFSEQ:NP_525056 <newline> REFSEQ:NP_001259194	REFSEQ:NM_080317 <newline> REFSEQ:NM_001272265	per
FBgn0003463	FBgn0003463	CG9224	13E1-13E3	positive regulation of transforming growth factor beta receptor signaling pathway ; GO:0030511 | traceable author statement <newline> torso signaling pathway ; GO:0008293 | inferred from genetic interaction with tor <newline> amnioserosa formation ; GO:0007378 | traceable author statement <newline> maternal specification of dorsal/ventral axis, oocyte, soma encoded ; GO:0007313 | inferred from mutant phenotype <newline> ring gland development ; GO:0035271 | inferred from mutant phenotype <newline> imaginal disc-derived wing vein morphogenesis ; GO:0008586 | inferred from mutant phenotype <newline> terminal region determination ; GO:0007362 | inferred from genetic interaction with tor <newline> posterior Malpighian tubule development ; GO:0061328 | inferred from mutant phenotype <newline> negative regulation of transforming growth factor beta receptor signaling pathway ; GO:0030512 | traceable author statement <newline> ectoderm development ; GO:0007398 | traceable author statement <newline> BMP signaling pathway ; GO:0030509 | non-traceable author statement <newline> regulation of BMP signaling pathway ; GO:0030510 | traceable author statement <newline> ectoderm development ; GO:0007398 | non-traceable author statement <newline> zygotic determination of anterior/posterior axis, embryo ; GO:0007354 | non-traceable author statement	plasma membrane ; GO:0005886 | inferred from sequence or structural similarity	collagen binding ; GO:0005518 | inferred from direct assay	X	15633434	15603283	-1	short gastrulation	1-51	REFSEQ:NP_476736 <newline> REFSEQ:NP_001259578 <newline> REFSEQ:NP_001259576	REFSEQ:NM_057388 <newline> REFSEQ:NM_001272649 <newline> REFSEQ:NM_001272647	sog
FBgn0003884	FBgn0003884	CG1913	84B2-84B2	microtubule-based process ; GO:0007017 | inferred from electronic annotation with InterPro:IPR000217, InterPro:IPR002452, InterPro:IPR017975 <newline> antimicrobial humoral response ; GO:0019730 | inferred from mutant phenotype <newline> mitotic spindle assembly checkpoint ; GO:0007094 | inferred from direct assay	astral microtubule ; GO:0000235 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from high throughput direct assay <newline> cytoplasm ; GO:0005737 | inferred from high throughput direct assay <newline> microtubule ; GO:0005874 | inferred from sequence or structural similarity <newline> centrosome ; GO:0005813 | inferred from direct assay <newline> spindle ; GO:0005819 | inferred from direct assay <newline> perinuclear region of cytoplasm ; GO:0048471 | inferred from direct assay	GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR002452, InterPro:IPR008280, InterPro:IPR017975 <newline> structural constituent of cytoskeleton ; GO:0005200 | inferred from electronic annotation with InterPro:IPR002452 <newline> GTPase activity ; GO:0003924 | inferred from electronic annotation with InterPro:IPR003008, InterPro:IPR008280 <newline> structural constituent of cytoskeleton ; GO:0005200 | inferred from sequence or structural similarity	3R	7088839	7086599	1	alpha-Tubulin at 84B	3-48	REFSEQ:NP_476772	REFSEQ:NM_057424	alphaTub84B
FBgn0004507	FBgn0004507	CG7254	22C3-22D1	negative regulation of innate immune response ; GO:0045824 | inferred from high throughput mutant phenotype <newline> positive regulation of glycogen catabolic process ; GO:0045819 | inferred from mutant phenotype <newline> glycogen catabolic process ; GO:0005980 | inferred from mutant phenotype <newline> defense response to Gram-negative bacterium ; GO:0050829 | inferred from high throughput mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | inferred from mutant phenotype	macromolecular complex ; GO:0032991 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000157685	glycogen phosphorylase activity ; GO:0008184 | inferred from direct assay <newline> protein homodimerization activity ; GO:0042803 | inferred from direct assay <newline> glycogen phosphorylase activity ; GO:0008184 | inferred from mutant phenotype <newline> pyridoxal phosphate binding ; GO:0030170 | inferred from direct assay	2L	2137296	2130813	1	Glycogen phosphorylase	2-4	REFSEQ:NP_722762 <newline> REFSEQ:NP_001027219	REFSEQ:NM_164453 <newline> REFSEQ:NM_001032048	GlyP
FBgn0004636	FBgn0004636	CG1956	62B7-62B7	dorsal closure ; GO:0007391 | inferred from mutant phenotype <newline> ovarian follicle cell stalk formation ; GO:0030713 | traceable author statement <newline> adherens junction assembly ; GO:0034333 | inferred from genetic interaction with PDZ-GEF <newline> germ-line stem cell population maintenance ; GO:0030718 | inferred from genetic interaction with PDZ-GEF <newline> establishment of ommatidial planar polarity ; GO:0042067 | inferred from mutant phenotype <newline> dorsal closure ; GO:0007391 | inferred from genetic interaction with PDZ-GEF <newline> positive regulation of cell-cell adhesion ; GO:0022409 | inferred from mutant phenotype <newline> Rap protein signal transduction ; GO:0032486 | inferred from direct assay <newline> Rap protein signal transduction ; GO:0032486 | inferred from genetic interaction with Epac <newline> substrate-dependent cell migration, cell extension ; GO:0006930 | inferred from mutant phenotype <newline> hemocyte migration ; GO:0035099 | inferred from mutant phenotype <newline> regulation of JNK cascade ; GO:0046328 | NOT inferred from mutant phenotype inferred from genetic interaction with bsk <newline> regulation of embryonic cell shape ; GO:0016476 | inferred from mutant phenotype	membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR020849 <newline> plasma membrane ; GO:0005886 | inferred from high throughput direct assay <newline> cell leading edge ; GO:0031252 | inferred from direct assay	GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001806, InterPro:IPR005225, InterPro:IPR020849 <newline> protein binding ; GO:0005515 | inferred from physical interaction with Rgl <newline> GTPase activity ; GO:0003924 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with cno, PDZ-GEF	3L	1862239	1859115	-1	Rap1 GTPase	3-1.0	REFSEQ:NP_476857 <newline> REFSEQ:NP_001189023 <newline> REFSEQ:NP_001261295	REFSEQ:NM_057509 <newline> REFSEQ:NM_001202094 <newline> REFSEQ:NM_001274366	Rap1
